dimension,block,y_section_min,count
overworld,minecraft:deepslate_diamond_ore,-64,2379
overworld,minecraft:deepslate_diamond_ore,-48,2494
overworld,minecraft:deepslate_diamond_ore,-32,2569
overworld,minecraft:deepslate_diamond_ore,-16,2414
overworld,minecraft:deepslate_diamond_ore,0,710
overworld,minecraft:deepslate_emerald_ore,-32,131
overworld,minecraft:deepslate_emerald_ore,-16,1217
overworld,minecraft:deepslate_emerald_ore,0,383
overworld,minecraft:deepslate_gold_ore,-64,3127
overworld,minecraft:deepslate_gold_ore,-48,3708
overworld,minecraft:deepslate_gold_ore,-32,3543
overworld,minecraft:deepslate_gold_ore,-16,3685
overworld,minecraft:deepslate_gold_ore,0,1088
overworld,minecraft:deepslate_iron_ore,-64,1346
overworld,minecraft:deepslate_iron_ore,-48,12559
overworld,minecraft:deepslate_iron_ore,-32,11210
overworld,minecraft:deepslate_iron_ore,-16,11221
overworld,minecraft:deepslate_iron_ore,0,3188
overworld,minecraft:deepslate_lapis_ore,-48,207
overworld,minecraft:deepslate_lapis_ore,-32,2015
overworld,minecraft:deepslate_lapis_ore,-16,2104
overworld,minecraft:deepslate_lapis_ore,0,579
overworld,minecraft:deepslate_redstone_ore,-64,13124
overworld,minecraft:deepslate_redstone_ore,-48,16245
overworld,minecraft:deepslate_redstone_ore,-32,15121
overworld,minecraft:deepslate_redstone_ore,-16,14513
overworld,minecraft:deepslate_redstone_ore,0,4272
overworld,minecraft:diamond_ore,-48,2
overworld,minecraft:diamond_ore,-32,8
overworld,minecraft:diamond_ore,-16,18
overworld,minecraft:diamond_ore,0,1837
overworld,minecraft:diamond_ore,16,17
overworld,minecraft:diorite,-48,792
overworld,minecraft:diorite,-32,9531
overworld,minecraft:diorite,-16,10998
overworld,minecraft:diorite,0,11136
overworld,minecraft:diorite,16,9689
overworld,minecraft:diorite,32,8794
overworld,minecraft:diorite,48,4020
overworld,minecraft:diorite,64,714
overworld,minecraft:dirt,-64,17164
overworld,minecraft:dirt,-48,22418
overworld,minecraft:dirt,-32,19215
overworld,minecraft:dirt,-16,19002
overworld,minecraft:dirt,0,19957
overworld,minecraft:dirt,16,17500
overworld,minecraft:dirt,32,16770
overworld,minecraft:dirt,48,86551
overworld,minecraft:dirt,64,128039
overworld,minecraft:dirt,80,395
overworld,minecraft:emerald_ore,-16,8
overworld,minecraft:emerald_ore,0,767
overworld,minecraft:emerald_ore,16,1004
overworld,minecraft:emerald_ore,32,994
overworld,minecraft:emerald_ore,48,407
overworld,minecraft:emerald_ore,64,85
overworld,minecraft:gold_ore,-48,1
overworld,minecraft:gold_ore,-32,24
overworld,minecraft:gold_ore,-16,27
overworld,minecraft:gold_ore,0,2438
overworld,minecraft:gold_ore,16,3576
overworld,minecraft:gold_ore,32,3273
overworld,minecraft:gold_ore,48,14
overworld,minecraft:granite,-48,1292
overworld,minecraft:granite,-32,10212
overworld,minecraft:granite,-16,11421
overworld,minecraft:granite,0,21243
overworld,minecraft:granite,16,30920
overworld,minecraft:granite,32,19286
overworld,minecraft:granite,48,5077
overworld,minecraft:granite,64,432
overworld,minecraft:gravel,-64,21733
overworld,minecraft:gravel,-48,26417
overworld,minecraft:gravel,-32,24330
overworld,minecraft:gravel,-16,24908
overworld,minecraft:gravel,0,24681
overworld,minecraft:gravel,16,26979
overworld,minecraft:gravel,32,34996
overworld,minecraft:gravel,48,22666
overworld,minecraft:gravel,64,2545
overworld,minecraft:iron_ore,-48,18
overworld,minecraft:iron_ore,-32,68
overworld,minecraft:iron_ore,-16,61
overworld,minecraft:iron_ore,0,7863
overworld,minecraft:iron_ore,16,10696
overworld,minecraft:iron_ore,32,9463
overworld,minecraft:iron_ore,48,4381
overworld,minecraft:iron_ore,64,810
overworld,minecraft:lapis_ore,-48,1
overworld,minecraft:lapis_ore,-32,17
overworld,minecraft:lapis_ore,-16,19
overworld,minecraft:lapis_ore,0,1473
overworld,minecraft:lapis_ore,16,1988
overworld,minecraft:lapis_ore,32,1834
overworld,minecraft:lapis_ore,48,657
overworld,minecraft:lapis_ore,64,2
overworld,minecraft:redstone_ore,-48,23
overworld,minecraft:redstone_ore,-32,110
overworld,minecraft:redstone_ore,-16,131
overworld,minecraft:redstone_ore,0,10130
overworld,minecraft:redstone_ore,16,104
overworld,thermal:apatite_ore,0,460
overworld,thermal:apatite_ore,16,8453
overworld,thermal:apatite_ore,32,8453
overworld,thermal:apatite_ore,48,3603
overworld,thermal:apatite_ore,64,752
overworld,thermal:deepslate_lead_ore,-64,293
overworld,thermal:deepslate_lead_ore,-48,2653
overworld,thermal:deepslate_lead_ore,-32,2629
overworld,thermal:deepslate_lead_ore,-16,2621
overworld,thermal:deepslate_lead_ore,0,774
overworld,thermal:deepslate_nickel_ore,-64,1184
overworld,thermal:deepslate_nickel_ore,-48,1417
overworld,thermal:deepslate_nickel_ore,-32,1252
overworld,thermal:deepslate_nickel_ore,-16,1256
overworld,thermal:deepslate_nickel_ore,0,365
overworld,thermal:deepslate_silver_ore,-64,312
overworld,thermal:deepslate_silver_ore,-48,3355
overworld,thermal:deepslate_silver_ore,-32,3068
overworld,thermal:deepslate_silver_ore,-16,3337
overworld,thermal:deepslate_silver_ore,0,849
overworld,thermal:deepslate_tin_ore,-48,449
overworld,thermal:deepslate_tin_ore,-32,4331
overworld,thermal:deepslate_tin_ore,-16,4284
overworld,thermal:deepslate_tin_ore,0,1223
overworld,thermal:lead_ore,-32,15
overworld,thermal:lead_ore,-16,30
overworld,thermal:lead_ore,0,1830
overworld,thermal:lead_ore,16,2097
overworld,thermal:lead_ore,32,10
overworld,thermal:nickel_ore,-32,7
overworld,thermal:nickel_ore,-16,15
overworld,thermal:nickel_ore,0,909
overworld,thermal:nickel_ore,16,1155
overworld,thermal:nickel_ore,32,6
overworld,thermal:oil_sand,32,507
overworld,thermal:oil_sand,48,788
overworld,thermal:oil_sand,64,1
overworld,thermal:silver_ore,-32,16
overworld,thermal:silver_ore,-16,29
overworld,thermal:silver_ore,0,2253
overworld,thermal:silver_ore,16,2898
overworld,thermal:silver_ore,32,2692
overworld,thermal:silver_ore,48,15
overworld,thermal:tin_ore,-32,46
overworld,thermal:tin_ore,-16,37
overworld,thermal:tin_ore,0,3135
overworld,thermal:tin_ore,16,4029
overworld,thermal:tin_ore,32,3632
overworld,thermal:tin_ore,48,1752
overworld,thermal:tin_ore,64,342
