dimension,block,y_section_min,count
overworld,minecraft:granite,80,1292
overworld,minecraft:granite,96,7
overworld,minecraft:gravel,-64,41507
overworld,minecraft:gravel,-48,44277
overworld,minecraft:gravel,-32,46380
overworld,minecraft:gravel,-16,49606
overworld,minecraft:gravel,0,47606
overworld,minecraft:gravel,16,49868
overworld,minecraft:gravel,32,197876
overworld,minecraft:gravel,48,63307
overworld,minecraft:gravel,64,7307
overworld,minecraft:gravel,80,3359
overworld,minecraft:gravel,96,1047
overworld,minecraft:iron_ore,-48,21
overworld,minecraft:iron_ore,-32,190
overworld,minecraft:iron_ore,-16,201
overworld,minecraft:iron_ore,0,14631
overworld,minecraft:iron_ore,16,20646
overworld,minecraft:iron_ore,32,15148
overworld,minecraft:iron_ore,48,9290
overworld,minecraft:iron_ore,64,2776
overworld,minecraft:iron_ore,80,1437
overworld,minecraft:iron_ore,96,5
overworld,minecraft:lapis_ore,-48,1
overworld,minecraft:lapis_ore,-32,40
overworld,minecraft:lapis_ore,-16,26
overworld,minecraft:lapis_ore,0,2889
overworld,minecraft:lapis_ore,16,3626
overworld,minecraft:lapis_ore,32,2913
overworld,minecraft:lapis_ore,48,1640
overworld,minecraft:lapis_ore,64,1
overworld,minecraft:redstone_ore,-48,14
overworld,minecraft:redstone_ore,-32,294
overworld,minecraft:redstone_ore,-16,203
overworld,minecraft:redstone_ore,0,18674
overworld,minecraft:redstone_ore,16,161
overworld,thermal:apatite_ore,0,1748
overworld,thermal:apatite_ore,16,15765
overworld,thermal:apatite_ore,32,12869
overworld,thermal:apatite_ore,48,7604
overworld,thermal:apatite_ore,64,2801
overworld,thermal:apatite_ore,80,993
overworld,thermal:apatite_ore,96,76
overworld,thermal:deepslate_lead_ore,-64,534
overworld,thermal:deepslate_lead_ore,-48,4926
overworld,thermal:deepslate_lead_ore,-32,4471
overworld,thermal:deepslate_lead_ore,-16,4479
overworld,thermal:deepslate_lead_ore,0,1372
overworld,thermal:deepslate_nickel_ore,-64,2139
overworld,thermal:deepslate_nickel_ore,-48,2412
overworld,thermal:deepslate_nickel_ore,-32,2368
overworld,thermal:deepslate_nickel_ore,-16,2488
overworld,thermal:deepslate_nickel_ore,0,702
overworld,thermal:deepslate_silver_ore,-64,521
overworld,thermal:deepslate_silver_ore,-48,5988
overworld,thermal:deepslate_silver_ore,-32,5635
overworld,thermal:deepslate_silver_ore,-16,5491
overworld,thermal:deepslate_silver_ore,0,1612
overworld,thermal:deepslate_tin_ore,-48,739
overworld,thermal:deepslate_tin_ore,-32,7919
overworld,thermal:deepslate_tin_ore,-16,8283
overworld,thermal:deepslate_tin_ore,0,2145
overworld,thermal:lead_ore,-48,7
overworld,thermal:lead_ore,-32,38
overworld,thermal:lead_ore,-16,42
overworld,thermal:lead_ore,0,3325
overworld,thermal:lead_ore,16,4366
overworld,thermal:lead_ore,32,41
overworld,thermal:nickel_ore,-32,31
overworld,thermal:nickel_ore,-16,22
overworld,thermal:nickel_ore,0,1726
overworld,thermal:nickel_ore,16,2262
overworld,thermal:nickel_ore,32,7
overworld,thermal:oil_sand,48,385
overworld,thermal:oil_sand,64,26
overworld,thermal:silver_ore,-48,9
overworld,thermal:silver_ore,-32,65
overworld,thermal:silver_ore,-16,45
overworld,thermal:silver_ore,0,4270
overworld,thermal:silver_ore,16,5763
overworld,thermal:silver_ore,32,4752
overworld,thermal:silver_ore,48,19
overworld,thermal:tin_ore,-48,1
overworld,thermal:tin_ore,-32,107
overworld,thermal:tin_ore,-16,58
overworld,thermal:tin_ore,0,6014
overworld,thermal:tin_ore,16,7674
overworld,thermal:tin_ore,32,6036
overworld,thermal:tin_ore,48,3602
overworld,thermal:tin_ore,64,1192
overworld,thermal:tin_ore,80,579
overworld,thermal:tin_ore,96,3
